Model Name,Speed (ms),COCO mAP,Outputs,model_links
CenterNet HourGlass104 512x512,70,41.9,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200713/centernet_hg104_512x512_coco17_tpu-8.tar.gz
CenterNet HourGlass104 Keypoints 512x512,76,40.0/61.4,Boxes/Keypoints,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_hg104_512x512_kpts_coco17_tpu-32.tar.gz
CenterNet HourGlass104 1024x1024,197,44.5,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200713/centernet_hg104_1024x1024_coco17_tpu-32.tar.gz
CenterNet HourGlass104 Keypoints 1024x1024,211,42.8/64.5,Boxes/Keypoints,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_hg104_1024x1024_kpts_coco17_tpu-32.tar.gz
CenterNet Resnet50 V1 FPN 512x512,27,31.2,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v1_fpn_512x512_coco17_tpu-8.tar.gz
CenterNet Resnet50 V1 FPN Keypoints 512x512,30,29.3/50.7,Boxes/Keypoints,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v1_fpn_512x512_kpts_coco17_tpu-8.tar.gz
CenterNet Resnet101 V1 FPN 512x512,34,34.2,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet101_v1_fpn_512x512_coco17_tpu-8.tar.gz
CenterNet Resnet50 V2 512x512,27,29.5,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v2_512x512_coco17_tpu-8.tar.gz
CenterNet Resnet50 V2 Keypoints 512x512,30,27.6/48.2,Boxes/Keypoints,http://download.tensorflow.org/models/object_detection/tf2/20200711/centernet_resnet50_v2_512x512_kpts_coco17_tpu-8.tar.gz
CenterNet MobileNetV2 FPN 512x512,6,23.4,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20210210/centernet_mobilenetv2fpn_512x512_coco17_od.tar.gz
CenterNet MobileNetV2 FPN Keypoints 512x512,6,41.7,Keypoints,http://download.tensorflow.org/models/object_detection/tf2/20210210/centernet_mobilenetv2fpn_512x512_coco17_kpts.tar.gz
EfficientDet D0 512x512,39,33.6,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d0_coco17_tpu-32.tar.gz
EfficientDet D1 640x640,54,38.4,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d1_coco17_tpu-32.tar.gz
EfficientDet D2 768x768,67,41.8,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d2_coco17_tpu-32.tar.gz
EfficientDet D3 896x896,95,45.4,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d3_coco17_tpu-32.tar.gz
EfficientDet D4 1024x1024,133,48.5,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d4_coco17_tpu-32.tar.gz
EfficientDet D5 1280x1280,222,49.7,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d5_coco17_tpu-32.tar.gz
EfficientDet D6 1280x1280,268,50.5,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d6_coco17_tpu-32.tar.gz
EfficientDet D7 1536x1536,325,51.2,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/efficientdet_d7_coco17_tpu-32.tar.gz
SSD MobileNet v2 320x320,19,20.2,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v2_320x320_coco17_tpu-8.tar.gz
SSD MobileNet V1 FPN 640x640,48,29.1,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v1_fpn_640x640_coco17_tpu-8.tar.gz
SSD MobileNet V2 FPNLite 320x320,22,22.2,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8.tar.gz
SSD MobileNet V2 FPNLite 640x640,39,28.2,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_mobilenet_v2_fpnlite_640x640_coco17_tpu-8.tar.gz
SSD ResNet50 V1 FPN 640x640 (RetinaNet50),46,34.3,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet50_v1_fpn_640x640_coco17_tpu-8.tar.gz
SSD ResNet50 V1 FPN 1024x1024 (RetinaNet50),87,38.3,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet50_v1_fpn_1024x1024_coco17_tpu-8.tar.gz
SSD ResNet101 V1 FPN 640x640 (RetinaNet101),57,35.6,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet101_v1_fpn_640x640_coco17_tpu-8.tar.gz
SSD ResNet101 V1 FPN 1024x1024 (RetinaNet101),104,39.5,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet101_v1_fpn_1024x1024_coco17_tpu-8.tar.gz
SSD ResNet152 V1 FPN 640x640 (RetinaNet152),80,35.4,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet152_v1_fpn_640x640_coco17_tpu-8.tar.gz
SSD ResNet152 V1 FPN 1024x1024 (RetinaNet152),111,39.6,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/ssd_resnet152_v1_fpn_1024x1024_coco17_tpu-8.tar.gz
Faster R-CNN ResNet50 V1 640x640,53,29.3,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet50_v1_640x640_coco17_tpu-8.tar.gz
Faster R-CNN ResNet50 V1 1024x1024,65,31,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet50_v1_1024x1024_coco17_tpu-8.tar.gz
Faster R-CNN ResNet50 V1 800x1333,65,31.6,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet50_v1_800x1333_coco17_gpu-8.tar.gz
Faster R-CNN ResNet101 V1 640x640,55,31.8,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet101_v1_640x640_coco17_tpu-8.tar.gz
Faster R-CNN ResNet101 V1 1024x1024,72,37.1,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8.tar.gz
Faster R-CNN ResNet101 V1 800x1333,77,36.6,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet101_v1_800x1333_coco17_gpu-8.tar.gz
Faster R-CNN ResNet152 V1 640x640,64,32.4,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet152_v1_640x640_coco17_tpu-8.tar.gz
Faster R-CNN ResNet152 V1 1024x1024,85,37.6,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet152_v1_1024x1024_coco17_tpu-8.tar.gz
Faster R-CNN ResNet152 V1 800x1333,101,37.4,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_resnet152_v1_800x1333_coco17_gpu-8.tar.gz
Faster R-CNN Inception ResNet V2 640x640,206,37.7,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_inception_resnet_v2_640x640_coco17_tpu-8.tar.gz
Faster R-CNN Inception ResNet V2 1024x1024,236,38.7,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/faster_rcnn_inception_resnet_v2_1024x1024_coco17_tpu-8.tar.gz
Mask R-CNN Inception ResNet V2 1024x1024,301,39.0/34.6,Boxes/Masks,http://download.tensorflow.org/models/object_detection/tf2/20200711/mask_rcnn_inception_resnet_v2_1024x1024_coco17_gpu-8.tar.gz
ExtremeNet (deprecated),--,--,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20200711/extremenet.tar.gz
ExtremeNet,--,--,Boxes,http://download.tensorflow.org/models/object_detection/tf2/20210507/extremenet.tar.gz
